Ward,Sub,Building Name,Building Address,Total Electors,Additions to the Voters List,Deletions to the Voters List,Corrections to the Voters List,School Board - Public,School Board - Catholic,School Board - French Public,School Board - French Catholic,School Board - Non-Resident,Total Eligible Electors,Number Voted,% Voted,Rejected Ballots,Declined Ballots
7,52,Blessed Margherita Catholic School,108 Spenvalley Drive,1256,16,4,11,572,698,0,0,0,1270,432,34%,0,0
7,53,Arleta Manor,7 Arleta Avenue,306,34,6,2,307,27,0,0,0,334,179,54%,0,0
7,54,Northwood Community Centre,15 Clubhouse Court,1321,23,2,5,490,852,0,2,0,1344,488,36%,2,0
7,55,Chalkfarm Public School,100 Chalkfarm Drive,1974,28,11,14,1361,621,9,3,0,1994,552,28%,0,0
7,56,Ghana Calvary Methodist United Church,65 Mayall Avenue,2153,35,5,22,1402,762,3,3,21,2191,584,27%,0,0
7,57,Weston Towers,3101 Weston Road,2462,47,8,14,1597,898,6,1,1,2503,694,28%,2,1
7,58,Riverside Court,3077 Weston Road,319,9,3,2,237,86,2,0,0,325,122,38%,0,0
7,59,St. Basil the Great College School,20 Starview Lane,2448,31,8,11,961,1500,0,6,5,2472,921,37%,0,1
7,97,Toronto City Hall - Vote Anywhere,100 Queen Street West,,6,4,3,,,,,,,103,,2,0
7,98,Domenico DiLuca Community Centre,25 Stanley Road,,51,16,60,,,,,,,1250,,0,0
7,99,Driftwood Community Centre,4401 Jane Street,,119,18,55,,,,,,,1503,,0,1
7 Total,,,,65321,1637,334,860,43385,22571,117,170,381,66624,23041,35%,93,9
8,1,Armour Heights Public School,148 Wilson Avenue,1817,19,19,9,1579,236,7,1,3,1826,549,30%,0,0
8,2,The Four Thousand,4000 Yonge Street,378,48,6,11,370,46,1,1,2,420,221,53%,0,0
8,3,Loretto Abbey Catholic Secondary School,101 Mason Blvd.,1550,49,10,68,1372,204,5,8,4,1593,661,41%,0,0
8,4,Armour Heights Presb. Church,105 Wilson Avenue,1678,27,19,9,1430,242,6,5,1,1684,646,38%,0,0
8,5,Armour Heights Community Centre,2140 Avenue Road,1374,31,13,8,1162,209,1,5,17,1394,425,30%,0,0
8,6,Marjory Carton Apartments,193 Wilson Avenue,121,4,0,0,116,10,1,0,0,127,38,31%,0,1
8,7,St. Margaret Catholic School,85 Carmichael Avenue,2136,34,9,2,1843,297,7,6,8,2161,639,30%,1,0
8,8,Terrace Gardens Residence,3705 Bathurst Street,18,19,0,0,34,3,0,0,0,37,20,54%,0,0
8,9,The Empress House,3636 Bathurst Street,273,12,3,6,251,32,0,0,0,283,154,54%,0,0
8,10,Reuben Cipin Residence,2 Neptune Drive,1298,73,10,9,941,418,3,0,0,1362,440,32%,3,1
8,11,Baycrest Health Sciences,3560 Bathurst Street,282,77,54,0,304,1,0,0,0,305,76,25%,4,0
8,12,Baycrest Terrace,55 Ameer Avenue,107,67,2,0,173,0,0,0,0,173,90,53%,0,1
8,13,St. Margaret Annex SS Fleming,50 Ameer Avenue,1756,38,18,14,1352,419,4,0,7,1782,567,32%,0,0
8,14,Flemington Public School,10 Flemington Road,1457,56,8,6,1239,256,7,9,0,1511,362,24%,1,0
8,15,Lawrence Heights Middle School,50 Highland Hill,1781,35,10,23,982,782,3,8,35,1810,499,28%,1,0
8,16,Yorkdale Secondary School,38 Orfus Road,524,6,1,0,185,313,0,0,31,529,200,38%,3,0
8,17,Joyce Public School,26 Joyce Parkway,698,14,6,4,254,439,7,2,7,709,233,33%,0,1
8,18,100 Lotherton Pathway,100 Lotherton Pathway,1273,30,2,14,1128,174,0,0,0,1302,371,28%,0,0
8,19,Dante Alighieri Academy,60 Playfair Avenue,544,2,3,6,160,382,0,1,1,544,187,34%,0,0
8,20,Glen Long Community Centre,35 Glen Long Avenue,990,20,3,11,385,600,8,7,6,1006,262,26%,0,2
8,21,Beth Torah Synagogue,47 Glenbrook Avenue,1482,25,10,16,765,714,9,1,7,1496,512,34%,0,0
8,22,Villa Colombo,40 Playfair Avenue,251,9,0,0,6,254,0,0,0,260,14,5%,0,0
8,23,3000 Dufferin Street,3000 Dufferin Street,326,26,5,5,238,103,4,2,0,347,160,46%,0,0
8,24,Casa Del Zotto,3010 Dufferin Street,221,29,3,13,113,133,0,0,1,247,140,57%,6,0
8,25,Caboto Terrace,3050 Dufferin Street,271,46,3,11,184,132,0,1,0,317,153,48%,3,0
8,26,Treviso 2,830 Lawrence Ave W,562,34,0,2,565,33,1,0,0,599,144,24%,3,0
8,27,Treviso 1,800 Lawrence Ave W,366,18,3,10,335,45,1,0,0,381,127,33%,0,0
8,28,Shermount Condominiums,650 Lawrence Avenue West,493,38,1,8,429,96,4,2,0,531,260,49%,3,0
8,29,Bathurst Place,3036 Bathurst Street,1629,33,12,15,1545,89,6,2,8,1650,561,34%,0,1
8,30,Barbara Frum Community Centre,20 Covington Road,1546,25,9,19,1320,234,5,1,3,1563,574,37%,0,1
8,31,Crystal Towers,8 Covington Road,353,19,2,2,346,16,2,1,3,368,228,62%,0,0
8,32,Saranac Apartments,3174 Bathurst Street,165,11,1,1,170,4,0,1,0,175,89,51%,1,0
8,33,Cranbrooke Village,35 Saranac Blvd,326,37,1,3,345,16,2,0,0,363,191,53%,0,0
8,34,National Council of Jewish Women,3270 Bathurst Street,189,6,3,2,150,42,0,0,0,192,81,42%,0,0
8,35,Ledbury Park Public School,95 Falkirk Street,2501,39,30,16,2286,202,19,2,7,2516,851,34%,1,0
8,36,Melrose Community Church,375 Melrose Avenue,2187,41,6,12,1943,249,8,3,19,2222,753,34%,0,0
8,37,John Wanless Public School,245 Fairlawn Avenue,1785,22,19,18,1574,202,8,7,0,1791,802,45%,0,1
8,38,Fairlawn Avenue United Church,28 Fairlawn Avenue,1654,31,21,11,1441,197,16,2,12,1668,769,46%,0,0
8,39,Blessed Sacrament Catholic School,24 Bedford Park Ave,1977,33,15,23,1679,299,11,3,5,1997,874,44%,1,1
8,40,Lawrence Park Collegiate Institute,125 Chatsworth Drive,1603,35,18,8,1428,172,3,1,13,1617,655,41%,0,0
8,41,Lawrence Park Condominium,481 Rosewell Avenue,388,21,6,1,362,39,1,1,0,403,189,47%,0,0
8,42,Glenview Senior Public School,401 Rosewell Avenue,1313,30,8,3,1248,76,9,6,1,1340,497,37%,0,0
8,43,Glenview Presbyterian Church,1 Glenview Avenue,2373,65,30,17,2195,191,10,8,8,2412,1046,43%,0,0
8,44,Shaarei Shomayim Congregation,470 Glencairn Avenue,2379,38,12,11,2278,87,17,2,24,2408,728,30%,0,0
8,45,Glen Park Public School,101 Englemount Avenue,2381,57,20,21,2038,362,8,3,4,2415,808,33%,0,0
8,46,Viewmount Community Centre,169 Viewmount Avenue,960,21,6,3,904,67,3,0,1,975,306,31%,1,0
8,47,Sts. Cosmas & Damian School,111 Danesbury Avenue,2814,32,14,17,1561,1231,13,5,21,2831,766,27%,1,1
8,48,Medhanie Alem Eritrean Orthodox Church,1 Ramsden Road,2339,45,18,11,1217,1095,7,1,50,2370,625,26%,5,0
8,49,Maria A. Shchuka Library,1745 Eglinton Avenue West,2326,49,15,22,1441,866,10,4,40,2361,747,32%,2,0
8,50,Roselawn Marlee Apartments,855 Roselawn Avenue,2484,33,27,22,2038,440,9,2,1,2490,842,34%,4,0
8,51,The Ascot,135 Marlee Avenue,318,7,1,3,285,34,4,0,0,323,134,41%,0,0
8,52,Fernwood Apartments,145 Marlee Avenue,513,25,2,1,443,84,2,0,6,535,209,39%,0,0
8,53,The Castlefield,377 Ridelle Avenue,344,20,4,5,312,49,0,0,0,361,128,35%,0,0
8,54,Briar Hill Towers,155 Marlee Avenue,503,4,1,4,459,43,3,0,0,505,233,46%,2,0
8,55,Ridley Towers,370 Ridelle Avenue,285,7,4,8,251,34,2,1,0,288,113,39%,3,0
8,56,The Allenway,360 Ridelle Avenue,473,19,4,2,425,57,5,1,0,488,211,43%,2,0
8,57,West Preparatory Public School,70 Ridge Hill Drive,2576,43,19,10,2514,60,7,0,22,2603,1062,41%,0,0
8,58,Forest Hill Place,645 Castlefield Avenue,116,39,0,1,154,1,0,0,0,155,80,52%,0,0
8,59,Dorothy Klein Seniors Residence,668 Roselawn Avenue,150,9,1,6,144,13,0,1,0,158,99,63%,0,0
8,60,Forest Hill Collegiate Institute,730 Eglinton Avenue West,1874,38,12,11,1770,123,5,6,0,1904,630,33%,3,0
8,61,North Preparatory Junior School,1100 Spadina Road,2290,30,22,27,2099,191,8,3,2,2303,749,33%,0,0
8,62,Allenby Jr. Public School,391 St. Clements Avenue,2118,43,29,12,2035,78,15,6,0,2134,947,44%,1,0
8,63,Marshall McLuhan Secondary School,1107 Avenue Road,1824,65,21,11,1730,106,14,7,13,1870,789,42%,0,0
8,64,Living Life on the Avenue,1066 Avenue Rd,0,46,0,0,46,0,0,0,0,46,46,100%,0,0
8,65,St. Clement's Anglican Church,70 St Clements Avenue,1987,69,12,25,1874,136,14,7,11,2042,914,45%,0,0
8,66,500 Duplex Avenue,500 Duplex Avenue,333,30,8,8,324,27,2,2,0,355,197,55%,2,0
8,67,Northern District Library,40 Orchard View Blvd.,2222,101,26,27,2093,179,19,8,4,2303,904,39%,1,2
8,68,Berkshire House,411 Duplex Avenue,380,2,6,3,338,37,0,0,0,375,137,37%,0,0
8,97,Toronto City Hall - Vote Anywhere,100 Queen Street West,,15,13,7,,,,,,,350,,0,0
8,98,Armour Heights Community Centre,2140 Avenue Road,,103,40,121,,,,,,,4221,,0,0
8,99,Glen Long Community Centre,35 Glen Long Avenue,,44,23,58,,,,,,,1718,,0,1
8 Total,,,,78005,2368,762,873,64700,14001,346,156,408,79611,35003,44%,58,14
9,1,St. Hilda's Anglican Church,2353 Dufferin Street,2117,45,9,5,1250,884,7,0,16,2157,598,28%,0,0
9,2,St. John Bosco Catholic School,75 Holmesdale Road,2233,48,3,16,1148,1117,10,4,0,2279,685,30%,1,0
9,3,F.H. Miller Jr. Public School,300 Caledonia Road,1804,36,13,22,981,836,5,2,4,1828,497,27%,2,0
9,4,St. Nicholas of Bari School,363 Rogers Road,1672,30,14,20,768,894,17,8,6,1693,427,25%,0,1
9,5,St. Matthew Catholic School,18 Lavender Road,1260,27,10,14,698,562,2,4,11,1277,356,28%,0,0
9,6,Rawlinson Community School,231 Glenholme Avenue,2391,71,10,21,1718,693,14,8,24,2457,912,37%,1,0
9,7,Oakwood Collegiate,991 St. Clair Ave West,2323,127,21,13,2032,351,27,7,17,2434,867,36%,1,1
9,8,St. Clare Catholic School,124 Northcliffe Blvd.,2052,76,13,23,1366,733,9,10,2,2120,678,32%,0,0
9,9,Stella Maris Catholic School,31 Ascot Avenue,2400,62,19,15,1219,1197,9,6,17,2448,725,30%,1,0
9,10,Dufferin/St. Clair Library,1625 Dufferin Street,1545,99,25,9,1248,330,25,3,14,1620,674,42%,3,0
9,11,Loretto College Catholic School,151 Rosemount Avenue,2941,112,26,139,1741,1256,8,6,35,3046,923,30%,0,0
9,12,J.J. Piccininni Community Centre,1369 St. Clair Avenue West,2234,54,10,44,1227,1016,15,8,22,2288,635,28%,5,0
9,13,Cornerstone Baptist Tabernacle,21 Blackthorn Avenue,2434,39,14,7,1565,870,9,2,14,2460,678,28%,0,0
9,14,Blessed Pope Paul VI Catholic School,270 Laughton Avenue,832,21,9,5,416,410,2,5,10,843,292,35%,1,0
9,15,Carleton Village Public School,315 Osler St,1114,35,6,12,775,340,11,2,16,1144,356,31%,2,0
9,16,Davenport-Perth Centre,1900 Davenport Road,1509,91,12,28,1305,283,16,5,0,1609,519,32%,0,0
9,17,Pelham Park Gardens,61 Pelham Park Gardens,459,40,4,7,396,92,1,1,5,495,145,30%,0,2
9,18,Ecole elementaire Charles-Sauriol,55 Pelham Avenue,1073,34,7,1,676,404,12,4,3,1099,344,31%,0,0
9,19,St. Rita Catholic School,178 Edwin Avenue,720,31,6,14,516,204,7,2,20,749,294,39%,0,0
9,20,St. Luigi Catholic School,2 Ruskin Avenue,2001,114,16,17,1402,658,25,6,14,2105,860,41%,0,1
9,21,Fuse 1 & 2,1410 Dupont Street,430,54,6,0,469,9,0,0,0,478,214,45%,0,1
9,22,St. Mary of the Angels School,1477 Dufferin Street,2273,108,21,18,1501,826,14,4,19,2364,796,34%,0,0
9,23,Wallace-Emerson Community Centre,1260 Dufferin Street,2581,196,27,47,2116,597,17,6,17,2753,866,31%,6,0
9,24,Dovercourt Public School,228 Bartlett Avenue,1958,102,19,20,1520,477,23,13,10,2043,783,38%,3,0
9,25,Dovercourt Boys and Girls Club,180 Westmoreland Avenue,1587,110,35,13,1144,487,18,11,4,1664,697,42%,6,1
9,26,The Salvation Army,789 Dovercourt Road,1775,124,34,10,1435,404,14,3,13,1869,720,39%,2,0
9,27,St. Anthony Catholic School,130 Shanly St,1125,75,13,12,842,332,10,0,9,1193,450,38%,0,0
9,28,New Horizons Tower,1140 Bloor Street West,53,64,1,0,102,13,1,0,0,116,69,59%,0,0
9,29,Bloor Collegiate,1141 Bloor Street West,1085,70,17,11,750,371,11,3,5,1140,372,33%,0,0
9,30,Pauline Jr. Public School,100 Pauline Avenue,1666,81,13,13,1123,594,12,3,2,1734,573,33%,0,0
9,31,St. Sebastian Catholic School,717 Brock Avenue,1850,130,26,40,1363,564,17,0,15,1959,676,35%,0,1
9,32,Tamil Co-Op Homes,20 Wade Avenue,789,87,6,22,693,151,7,5,21,877,286,33%,0,0
9,33,Rankin Apartments,55 Rankin Crescent,839,375,10,17,1071,111,12,3,10,1207,503,42%,0,0
9,34,Perth Avenue Co-Op,120 Perth Avenue,2324,101,315,25,1661,425,20,8,3,2117,853,40%,2,0
9,35,Ecole Saint-Frere-Andre,330 Lansdowne Avenue,1980,174,20,203,1409,700,12,4,19,2144,714,33%,1,0
9,36,St. Mary Secondary School,66 Dufferin Park Avenue,1459,116,24,17,1264,259,21,3,6,1553,657,42%,0,0
9,37,Portuguese Speaking Presb. Church,100 Hepbourne Street,1936,117,26,19,1754,233,23,5,16,2031,749,37%,4,0
9,38,Dewson Street Public School,65 Concord Avenue,2251,230,48,23,2023,367,31,6,20,2447,902,37%,7,2
9,39,St. Helen Catholic School,1196 College Street,1917,133,35,30,1402,583,12,6,21,2024,583,29%,5,0
9,40,Bill McMurray Residence,180 Sheridan Avenue,905,102,18,4,691,286,12,1,21,1011,301,30%,0,1
9,41,Shirley Street Public School,38 Shirley Street,1799,21,23,168,1319,465,12,2,13,1811,712,39%,0,0
9,42,Mary McCormick Recreation Centre,66 Sheridan Avenue,2081,115,25,10,1562,566,16,6,37,2187,673,31%,3,0
9,43,St. Anne's Place,661 Dufferin Street,861,64,63,64,631,204,11,0,22,868,293,34%,1,0
9,44,Ossington/Old Orchard Public School,380 Ossington Avenue,980,12,9,2,715,256,8,1,6,986,455,46%,4,0
9,45,Terra Nova,1289 Dundas Street West,142,16,2,5,104,52,0,0,0,156,80,51%,0,0
9,46,Fairview Nursing Home,14 Cross Street,21,19,1,0,33,6,0,0,0,39,21,62%,0,3
9,47,Alexander Muir/Gladstone School,108 Gladstone Avenue,2940,252,44,26,2472,641,38,8,12,3171,1080,34%,0,0
9,48,The Carnaby,20 Minowan Miikan Lane,510,51,9,3,535,13,2,2,0,552,233,42%,0,0
9,49,Bohemian Embassy,1169 Queen Street West,312,81,4,7,369,17,4,2,0,392,186,47%,0,0
9,50,Epic on Triangle Park,68 Abell St,371,44,9,0,398,5,2,2,0,407,152,37%,17,0
9,51,Westside Gallery Lofts,150 Sudbury Street,504,85,1,4,549,33,4,0,0,586,254,43%,1,0
9,52,45 Lisgar Street,45 Lisgar Street,509,42,20,12,504,23,4,2,0,533,225,42%,0,0
9,97,Toronto City Hall - Vote Anywhere,100 Queen Street West,,55,23,16,,,,,,,424,,4,0
9,98,J.J Piccininni Community Centre,1369 St Clair Avenue West,,140,47,124,,,,,,,2517,,4,0
9,99,Mary McCormick Recreation Centre,66 Sheridan Avenue,,185,46,42,,,,,,,1797,,1,0
9 Total,,,,76927,4923,1287,1459,55971,23200,619,202,571,80563,32331,40%,88,14
10,1,Givins/Shaw Public School,49 Givins Street,2153,171,29,25,1704,552,13,5,40,2314,776,34%,2,0
10,2,Trinity Community Recreation Centre,155 Crawford Street,3050,178,72,41,2741,367,35,20,11,3174,913,29%,1,0
10,3,Maynard Nursing Home,28 Halton Street,41,1,0,0,19,23,0,0,0,42,15,36%,0,0
10,4,Centre for Addiction/Mental Health,1001 Queen Street West,0,37,0,0,37,0,0,0,0,37,35,100%,0,2
10,5,DNA3,1030 King St W,439,119,8,8,523,24,6,2,0,555,216,39%,0,0
10,6,DNA II,1005 King Street West,607,4,14,4,552,42,2,1,0,597,228,38%,2,0
10,7,Bridge Condominiums,38 Joe Shuster Way,524,52,8,0,546,21,1,0,0,568,237,42%,0,0
10,8,Toy Factory Lofts,43 Hanna Avenue,3679,140,33,22,3466,275,15,9,23,3788,927,24%,0,1
10,9,Battery Park at Liberty Village,50 Lynn Williams St,960,73,13,8,947,67,3,5,0,1022,337,33%,0,0
10,10,King West Condos in Liberty Village,75 East Liberty Street,1283,66,17,9,1305,23,3,0,0,1331,419,31%,0,0
10,11,Liberty Towers,59 East Liberty Street,569,54,7,8,569,40,3,4,1,617,202,33%,0,0
10,12,Niagara Street Public School,222 Niagara Street,2250,111,26,22,2056,255,22,12,5,2350,711,30%,0,0
10,13,St. Matthias Anglican Church,45 Bellwoods Avenue,1882,121,24,20,1666,289,21,4,15,1995,625,31%,1,0
10,14,Scadding Court Community Centre,707 Dundas Street West,1886,104,15,10,1581,357,14,5,24,1981,507,26%,0,1
10,15,The Meeting Place,588 Queen Street West,0,30,0,0,26,3,0,1,0,30,30,100%,0,0
10,16,Alexandra Park,91 Augusta Avenue,475,69,10,4,513,23,1,0,7,544,216,40%,0,1
10,17,Alexandra Park Community Centre,105 Grange Court,637,219,4,3,766,42,1,0,46,855,313,37%,0,0
10,18,Ogden Public School,33 Phoebe Street,1447,167,18,31,1503,63,13,5,24,1608,558,35%,0,0
10,19,Beverley Manor,168 John Street,152,16,0,0,159,10,0,0,0,169,73,43%,1,0
10,20,University Settlement Rec Centre,23 Grange Road,2175,128,27,983,2090,155,16,13,17,2291,552,24%,0,1
10,21,210 Simcoe,210 Simcoe St,201,19,1,2,212,2,0,1,5,220,77,35%,0,0
10,22,One City Hall,111 Elizabeth Street,479,38,4,2,483,31,2,2,0,518,129,25%,0,0
10,23,Motion,570 Bay Street,346,21,5,1,349,7,2,2,2,362,120,33%,0,0
10,24,INDX Condos,70 Temperance St,420,55,4,3,460,11,0,3,0,474,110,23%,0,0
10,25,Boutique Condo,21 Nelson Street,550,56,11,4,559,34,3,2,0,598,187,31%,0,0
10,26,Studio,199 Richmond St W,223,23,2,4,238,7,0,0,0,245,76,31%,0,0
10,27,St. Andrew's Centre,73 Simcoe St,1833,67,30,13,1496,69,10,4,304,1883,355,19%,0,0
10,28,Metro Hall,55 John Street,2561,149,21,16,2586,90,14,3,12,2705,617,23%,0,0
10,29,Cinema Tower,21 Widmer Street,339,33,6,1,358,9,1,0,0,368,90,24%,2,0
10,30,The Pinnacle on Adelaide,295 Adelaide Street West,463,34,3,4,485,10,2,0,0,497,154,31%,0,0
10,31,The Bond,290 Adelaide Street West,369,20,1,2,380,3,2,2,0,387,67,17%,0,0
10,32,Picasso,318 Richmond St W,249,29,2,1,271,5,1,1,0,278,90,32%,1,0
10,33,Peter Street Condos,101 Peter St,312,22,4,2,318,10,1,1,0,330,91,28%,0,0
10,34,Charlie,8 Charlotte St,281,34,1,1,301,12,0,1,0,314,104,33%,0,0
10,35,The Hudson Condos,438 King St W,314,25,3,2,316,16,2,1,0,335,116,35%,0,0
10,36,M5V Condominiums,375 King Street West,289,21,10,2,292,6,2,0,0,300,90,30%,0,0
10,37,Victory Lofts,478 King St W,137,20,4,3,140,13,0,1,0,154,65,42%,0,0
10,38,Portland Place,163 Portland Street,2458,195,38,21,2441,133,23,11,12,2620,760,29%,0,0
10,39,Fashion House,560 King St W,145,16,2,2,156,1,0,0,1,158,51,32%,0,0
10,40,University Plaza Condos,140 Simcoe Street,256,22,1,1,253,24,1,0,0,278,97,35%,0,0
10,41,Musee,525 Adelaide St W,341,54,5,5,386,6,0,0,0,392,155,40%,0,0
10,42,OneEleven Condos,111 Bathurst St,176,19,3,0,189,1,2,0,0,192,79,41%,0,0
10,43,St. Mary Catholic School,20 Portugal Square,1484,96,13,14,1293,247,11,4,19,1574,535,34%,9,0
10,44,Niagara Neighbourhood Housing Co-op,180 Niagara Street,902,72,10,4,874,84,6,2,6,972,360,37%,0,0
10,45,Citysphere,801 King Street West,439,50,4,2,448,35,1,2,0,486,218,45%,0,0
10,46,Minto775 King West,775 King Street West,304,55,5,13,330,17,7,0,0,354,152,43%,0,0
10,47,The Summit,701 King Street West,905,81,12,4,875,81,12,7,0,975,387,40%,0,0
10,48,Thompson Residences,629 King St W,251,17,4,0,264,1,0,0,0,265,68,26%,1,0
10,49,550 Wellington West,55 Stewart Street,301,19,3,1,299,13,2,3,0,317,97,31%,0,0
10,50,Reve Condominiums,560 Front Street West,318,23,5,3,317,14,2,3,0,336,121,36%,1,0
10,51,Fort York Library,190 Fort York Blvd.,825,71,5,10,846,40,3,6,0,895,244,27%,0,0
10,52,Block 32,146 Fort York Blvd.,2957,160,34,26,2887,180,16,3,3,3089,732,24%,3,0
10,53,Atlantis Aquarius,231 Fort York Blvd,1977,121,18,15,1952,117,6,5,2,2082,594,29%,1,0
10,54,York Harbour Club Condo,38 Grand Magazine Street,493,36,6,9,502,18,1,2,0,523,167,32%,0,0
10,55,West Harbour City 1,628 Fleet Street,589,44,5,3,560,61,0,7,3,631,232,37%,2,0
10,56,West Harbour City 2,21 Grand Magazine Street,378,29,2,3,372,30,3,1,0,406,170,42%,1,0
10,57,Quay West at Tip Top,90 Stadium Road,656,63,1,8,665,49,5,2,0,721,217,30%,0,0
10,58,Malibu Harbourfront,600 Fleet Street,507,39,11,3,500,33,1,1,0,535,168,31%,2,0
10,59,Waterfront Neighbourhood Centre,627 Queen's Quay West,3009,142,32,61,2810,267,20,13,8,3118,960,31%,0,1
10,60,Panorama,38 Dan Leckie Way,382,24,4,10,380,22,0,0,0,402,112,28%,0,0
10,61,Parade,21 Iceboat Terrace,1299,102,19,3,1319,56,6,10,0,1391,270,19%,0,0
10,62,Luna,25 Capreol Court,640,51,7,4,655,28,2,2,1,688,196,28%,0,0
10,63,The Montage and Neo,4K Spadina Avenue,899,75,12,3,886,62,4,3,6,961,248,26%,0,0
10,64,N2,15 Fort York Blvd,1180,42,22,7,1145,51,3,6,0,1205,302,25%,1,0
10,65,Harbour View Estates,11 Mariner Terrace,2023,64,32,17,1914,122,17,2,0,2055,481,23%,3,0
10,66,Maple Leaf Quay,370 Queen's Quay West,577,37,13,8,538,51,12,3,0,604,153,25%,0,0
10,67,Westin Harbour Castle,1 Harbour Square,3592,167,45,22,3386,308,26,13,13,3746,638,17%,5,0
10,68,The Optima,81 Navy Wharf Court,483,27,2,4,449,51,6,1,0,507,145,29%,0,0
10,69,The Apex,381 Front Street West,1599,53,24,22,1511,108,12,3,0,1634,480,29%,0,0
10,70,Fly Condos,352 Front St W,365,43,0,1,393,13,1,0,0,407,111,27%,0,0
10,71,Element Condominium,20 Blue Jays Way,357,20,6,2,334,33,0,5,0,372,103,28%,0,0
10,72,The Icon,270 Wellington Street West,574,40,7,15,532,65,9,1,0,607,182,30%,0,0
10,73,The Tridel,300 Front Street West,343,21,5,2,347,9,0,1,0,357,69,19%,0,0
10,74,The Tower at King West Liberty Village,125 Western Battery Road,346,65,0,0,385,24,1,0,0,410,155,38%,2,0
10,75,Infinity 3,19 Grand Trunk Cres,521,58,5,6,560,13,2,2,0,577,142,25%,0,0
10,76,ICE Condos II,14 York St,439,13,4,1,445,1,0,0,0,446,58,13%,0,0
10,77,ICE Condos I,12 York Street,389,18,5,0,399,3,0,0,0,402,63,16%,0,0
10,78,Residences of Maple Leaf Square,55 Bremner Blvd,654,44,13,2,652,22,6,1,5,686,127,19%,0,0
10,79,Harbour Plaza Residences,88 Harbour St,226,43,2,1,259,9,1,1,0,270,68,25%,0,0
10,80,Number One York Quay,77 Harbour Square,959,62,9,15,917,75,13,4,2,1011,357,35%,1,1
10,81,Harbourside,55 Harbour Square,832,57,5,14,809,68,4,5,0,886,421,48%,0,0
10,82,33 Harbour Square,33 Harbour Square,695,59,5,11,675,61,9,1,2,748,312,42%,0,0
10,83,Pier 27,39 Queens Quay East,449,106,1,5,535,19,0,0,2,556,208,37%,0,0
10,84,Residences of the World Trade Centre,10 Queen's Quay West,880,65,9,17,852,72,7,4,0,935,330,35%,1,0
10,85,The Pinnacle,16 Yonge Street,1889,89,27,11,1834,100,9,8,1,1952,407,21%,1,0
10,86,18 Yonge,18 Yonge St,460,47,8,3,468,28,3,2,0,501,137,27%,0,0
10,87,Backstage,1 The Esplanade,213,16,4,0,220,4,1,0,0,225,70,31%,0,0
10,88,25 The Esplanade,25 The Esplanade,777,45,4,10,738,66,6,7,0,817,352,43%,0,0
10,89,Old York Tower,85 The Esplanade,710,36,7,18,621,104,4,10,0,739,308,42%,4,0
10,90,St. Michael Catholic School,50 George Street South,2223,199,23,51,1993,276,61,79,1,2410,923,38%,1,0
10,91,15 Scadding Avenue,15 Scadding Avenue,212,41,2,8,194,57,2,0,0,253,139,55%,0,0
10,92,Windmill Line Co-op,125 Scadding Avenue,283,15,2,7,252,41,3,2,0,298,145,49%,0,0
10,93,Young Centre for the Performing Arts,50 Tank House Lane,1323,100,20,14,1323,69,9,11,0,1412,514,36%,1,1
10,94,Aqualina at Bayside,15 Merchants' Wharf,0,75,0,0,64,14,0,0,1,79,78,99%,0,0
10,95,The Rectory,102 Lakeshore Avenue,549,32,13,4,552,8,6,2,0,568,288,51%,0,0
10,97,Toronto City Hall - Vote Anywhere,100 Queen Street West,,163,32,52,,,,,,,1422,,8,4
10,98,Trinity Community Recreation Centre,155 Crawford Street,,155,54,46,,,,,,,1696,,6,0
10,99,Harbourfront Centre,235 Queens Quay West,,115,42,69,,,,,,,1421,,1,0
10 Total,,,,82588,6434,1150,1954,79768,6531,578,371,624,87872,30623,35%,65,13
11,1,Essex Public School,50 Essex Street,2509,120,39,15,2073,492,30,6,2,2603,1034,40%,0,0
11,2,Bob Abate Community Recreation Centre,485 Montrose Avenue,2988,217,46,54,2487,608,41,11,26,3173,1158,37%,5,1
11,3,The O'Neill Centre,33 Christie Street,84,13,0,0,60,37,0,0,0,97,15,15%,0,0
11,4,Jesus is Lord Church,83 Christie Street,1248,85,26,8,1097,176,9,4,18,1304,529,41%,2,0
11,5,Palmerston Avenue Public School,734 Palmerston Avenue,1356,112,16,8,1271,129,15,7,30,1452,554,38%,0,0
11,6,St. Albans Boys and Girls Club,843 Palmerston Avenue,1555,98,23,9,1451,143,24,6,15,1639,773,47%,3,0
11,7,Vermont Square,914 Bathurst Street,34,8,0,0,27,15,0,0,0,42,13,31%,0,0
11,8,Royal St. George's College,100 Howland Avenue,2551,264,57,24,2560,150,49,6,9,2774,1144,41%,2,2
11,9,Native Canadian Centre,16 Spadina Road,2719,217,53,54,2708,138,28,10,3,2887,1025,36%,1,2
11,10,Wigwamen Terrace,14 Spadina Rd,103,6,1,7,98,10,0,0,0,108,51,47%,3,0
11,11,Goldring Centre,100 Devonshire Place,2033,121,25,46,1983,97,20,12,30,2142,775,36%,4,0
11,12,Friends House,60 Lowther Avenue,2064,177,49,49,2024,153,12,5,2,2196,777,35%,53,0
11,13,The Annex Retirement Residence,123 Spadina Road,43,35,0,0,76,3,0,0,0,79,37,48%,0,1
11,14,St. George Care Community,225 St. George St,76,36,0,0,92,14,2,3,1,112,40,36%,0,0
11,15,250 Davenport Road,250 Davenport Road,432,16,1,4,392,53,1,1,0,447,129,29%,1,0
